Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Guinea,GIN,2024,36.05,29.25,27.14,25.82,33.3,1694.95,,,,38.07,16.9,10.229999999999997,19.15,6.670000000000002
Kenya,KEN,2011,42.34,,,,8.8,1096.14,65.67,4.97,,31.87,42.34,,0.0,
Kenya,KEN,2014,74.66,,66.22,58.39,16.5,1482.82,73.03,5.59,,31.79,55.21,16.269999999999996,19.449999999999996,38.940000000000005
Kenya,KEN,2017,81.57,,76.41,72.93,17.83,1667.48,87.03,5.37,,31.54,55.72,8.639999999999986,25.849999999999994,47.08000000000001
Kenya,KEN,2021,79.2,,75.56,68.66,26.96,2061.36,122.3,4.59,38.6,31.29,50.57,10.540000000000006,28.630000000000003,40.029999999999994
Kenya,KEN,2022,,,,,29.41,2109.56,121.17,4.51,39.8,31.43,,,,
Kenya,KEN,2024,90.12,89.4,88.11,87.5,34.98,2132.43,126.48,,,31.89,45.43,2.6200000000000045,44.690000000000005,42.809999999999995
Lesotho,LSO,2011,18.5,,,,7.0,1280.73,61.19,3.37,,28.62,18.5,,0.0,
Lesotho,LSO,2014,,,,,22.0,1173.54,102.82,3.54,,32.64,,,,
Lesotho,LSO,2017,45.56,,33.49,27.64,39.0,1069.37,110.37,3.75,49.7,36.53,33.32,17.92,12.240000000000002,15.399999999999999
Lesotho,LSO,2021,,,,,45.06,1066.59,80.54,3.59,,40.66,,,,
Lesotho,LSO,2022,63.63,,54.62,45.88,48.07,1030.13,68.1,3.55,,41.67,44.37,17.75,19.260000000000005,26.619999999999997
Lesotho,LSO,2024,61.57,56.41,54.57,53.47,51.8,971.91,70.33,,,43.68,33.53,8.100000000000001,28.04,25.43
Liberia,LBR,2011,18.8,,,,2.5,568.09,47.87,3.6,,48.66,18.8,,0.0,
Liberia,LBR,2014,,,,,5.41,706.71,70.66,3.63,54.1,50.22,,,,
