Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Sudan,SDN,"Population, total",SP.POP.TOTL,36140806,38823318,42714306,48066924,49383346,50448963
Sudan,SDN,"Population ages 0-14, total",SP.POP.0014.TO,16126779,17089926,18175003,19793470,20203671,20417377
Tanzania,TZA,"Population, total",SP.POP.TOTL,46029367,50351512,55652890,62830412,64711821,68560157
Tanzania,TZA,"Population ages 0-14, total",SP.POP.0014.TO,20822530,22543044,24464967,27100555,27771870,29162822
Togo,TGO,"Population, total",SP.POP.TOTL,6916474,7472450,8057140,8878379,9089738,9515236
Togo,TGO,"Population ages 0-14, total",SP.POP.0014.TO,2878689,3104289,3322137,3596203,3655616,3760974
Uganda,UGA,"Population, total",SP.POP.TOTL,33354543,36395539,40177388,45910930,47312719,50015092
Uganda,UGA,"Population ages 0-14, total",SP.POP.0014.TO,16439675,17651085,18844081,20537133,20962891,21778080
Zambia,ZMB,"Population, total",SP.POP.TOTL,14437796,15895315,17441320,19603607,20152938,21314956
Zambia,ZMB,"Population ages 0-14, total",SP.POP.0014.TO,6655129,7227125,7762979,8408617,8552648,8836615
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,13595424,14207359,14812482,15797210,16069056,16634373
Zimbabwe,ZWE,"Population ages 0-14, total",SP.POP.0014.TO,5897117,6241514,6411245,6614596,6686582,6799094
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,
